SSD GENOTYPE,%COVER,DATEATGS55,EARTYPE,AWNED,HEIGHT,NECROSIS,SEGREGATING,LODGING,PLOT,type,id,SEEDS,WEIGHT,TGW,AREA,WIDTH,LENGTH,SHAPE,LENGTH_WIDTH,FFD
1,>65%,06-Jun,C,U ,74,4,N,0,755,spha,1,58,2.28,39.26,14.98,3.38,5.4,1.597633136,18.252,0.124917817
3,>65%,08-Jun,L,U,73,2,N,0,390,spha,3,109,4.05,37.12,15.56,3.33,5.86,1.75975976,19.5138,0.207545429
4,>65%,04-Jun,L,U,104,3,Y - HGT,1,1034,wt,4,82,3.01,36.72,16.71,3.24,6.64,2.049382716,21.5136,0.139911498
8,6 PLANTS,10-Jun,L,U,52,1,N,0,*,wt,8,,,,,,,,0,
11,>65%,29-May,C,A,74,4,Y - HGT,0,672,spha,11,93,3.69,39.68,16.27,3.54,5.9,1.666666667,20.886,0.17667337
12,>65%,03-Jun,L,U,94,4,N,2,1171,wt,12,65,2.85,43.91,18.8,3.27,7.3,2.232415902,23.871,0.119391731
15,>65%,10-Jun,L,A,107,4,N,2,1479,wt,15,75,2.96,39.48,17.46,3.25,6.82,2.098461538,22.165,0.133543875
19,>65%,07-Jun,L,U,105,5,N,0,867,wt,19,101,3.86,38.2,16.87,3.18,6.62,2.081761006,21.0516,0.183358985
22,>65%,09-Jun,L,U,74,4,N,0,828,wt,22,46,1.56,33.91,15.49,3.07,6.44,2.09771987,19.7708,0.078904243
25,>65%,06-Jun,C,U,70,4,Y - AWN,0,820,spha,25,65,2.28,35.05,13.97,3.32,5.34,1.608433735,17.7288,0.128604305
28,>65%,03-Jun,L,A,99,4,N,1,996,wt,28,85,3.64,42.82,17.92,3.36,6.95,2.068452381,23.352,0.1558753
33,40%,06-Jun,L,A,108,3,Y - AWN,2,764,wt,33,103,4.94,47.98,20.51,3.5,7.3,2.085714286,25.55,0.19334638
38,>65%,09-Jun,L,A,105,4,N,1,1284,wt,38,107,4.71,44.04,19.29,3.41,7.18,2.105571848,24.4838,0.192372099
40,>65%,08-Jun,C,A,72,4,N,0,682,spha,40,,,,,,,,0,
41,40%,05-Jun,L,A,85,5,N,1,668,wt,41,,,,,,,,0,
44,>65%,08-Jun,L,U,102,4,Y - HGT,2,757,wt,44,99,3.68,37.16,16.27,3.21,6.38,1.987538941,20.4798,0.179689255
46,>65%,04-Jun,L,U,95,3,N,1,790,wt,46,83,3.41,41.08,18.01,3.39,6.58,1.94100295,22.3062,0.152872296
68,40%,10-Jun,L,U,81,4,N,0,755,spha,68,67,2.75,38.75,16.54,3.56,5.84,1.640449438,20.7904,0.132272587
72,>65%,06-Jun,L,A,93,4,Y - AWN,1,1006,wt,72,76,3.35,44.06,18.79,3.49,6.75,1.934097421,23.5575,0.142205242
74,>65%,08-Jun,L,U,97,4,Y - HGT,5,367,wt,74,68,2.72,40.06,18.08,3.24,7.02,2.166666667,22.7448,0.119587774
75,>65%,02-Jun,L,U,64,3,N,0,878,spha,75,113,4.06,35.92,14.85,3.55,5.32,1.498591549,18.886,0.214974055
79,40%,29-May,L,U,75,3,Y - HGT,0,178,spha,79,66,2.14,32.49,14.24,3.34,5.39,1.613772455,18.0026,0.118871719
83,>65%,07-Jun,L,U,109,3,N,1,1251,wt,83,62,2.56,41.37,18.27,3.24,7.18,2.216049383,23.2632,0.11004505
84,>65%,06-Jun,L,U,66,1,N,0,130,spha,84,88,2.04,23.19,12.82,3.01,5.36,1.780730897,16.1336,0.126444191
85,>65%,04-Jun,C,U,57,4,N,0,615,spha,85,,,,,,,,0,
88,>65%,10-Jun,C,A,81,3,N,0,586,spha,88,,,,,,,,0,
89,>65%,10-Jun,L,U,98,5,Y - HGT,1,1109,spha,89,73,2.65,36.33,15.83,3.48,5.84,1.67816092,20.3232,0.130392852
91,>65%,08-Jun,C,U,75,2,Y - HGT,0,303,spha,91,85,2.73,32.14,14.06,3.3,5.4,1.636363636,17.82,0.153198653
98,>65%,05-Jun,C,U,63,2,N,0,797,wt,98,114,3.35,29.43,13.65,3.14,5.57,1.77388535,17.4898,0.191540212
102,40%,11-Jun,L,U,85,3,N,2,321,wt,102,92,3.06,33.29,15.87,3.09,6.43,2.080906149,19.8687,0.154011083
